Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
C₆Me₆ (hexamethylbenzene),L3,C1(C)C(C)=C(C)C(C)=C(C)C=1C,0,,106
NC₅H₄Me (4-methylpyridine),L,C1C=C(C)C=CN=1,0,,107
"OC₆H₃Prⁱ₂-2,6 (di-isopropylphenoxy-2,6)",X,C1(C(C)C)C=CC=C(C(C)C)C=1[O-],-1,,108
NCy₂ (dicyclohexylamino: planar),LX,[N-](C1CCCCC1)C1CCCCC1,-1,,109
N₃ (azido),X,[N-]=[N+]=[N-],-1,,110
"OCH₂CH₂O (ethanediolato-κO,κO)",X2,C([O-])C[O-],-2,,111
O₂ (peroxo),X2,[O-][O-],-2,,112
SCH₂CH₂S (ethanedithiolato-κ²S),X2,C([S-])C[S-],-2,,113
Terpy (terpyridine-κ³N 2⊖),L3,C1C(C2C=CC=CN=2)=NC(C2N=CC=CC=2)=CC=1,0,,114
=NH (imino),X2,[NH-2],-2,,115
⭀NPh (phenylimino),LX2,[N-2]C1C=CC=CC=1,-2,,116
NHMe₂ (dimethylamine),L,N(C)C,0,,117
AsPh₃ (triphenylarsane),L,[As](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,118
PhC≡CPh (diphenylethyne),L,C(C1C=CC=CC=1)#CC1C=CC=CC=1,0,,119
PzH (pyrazole),L,N1N=CC=C1,0,,120
CN (cyano-κC),X,[C-]#N,-1,,121
NCO (isocyanato-κN),X,[N-]=C=O,-1,,122
O (oxo X₂),X2,[O-2],-2,,123
=NTol (tolylimino),X2,C1C(C)=CC=C([N-2])C=1,-2,,124
NMe₂ (dimethylamino: planar),LX,[N-](C)C,-1,,125
Dedtc (diethyldithiocarbamato-κ²S),LX,[S-]C(N(CC)CC)=S,-1,,126
NHBuᵗ (t-butylamino: planar),LX,[NH-]C(C)(C)C,-1,,127
PMe₃ (trimethylphosphane),L,P(C)(C)C,0,,128
O (oxo ⭀O X₂L),LX2,[O-2],-2,,129
S (thio; ⭀S),LX2,[S-2],-2,,130
⭀NBuᵗ (⭀N t-butylimino),LX2,[N-2]C(C)(C)C,-2,,131
PPh₃ (triphenylphosphane),L,P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,132
C₄H₆ (η⁴-butadiene),L2,C(=C)C=C,0,,133
Bpy (bipyridine 1⊖),L2,C1C=NC(C2N=CC=CC=2)=CC=1,0,,134
C≡CBuⁿ (hexynyl),X,[C-]#CCCCC,-1,,135
H (hydrido),X,[H-],-1,,136
CNXy (xylyl isocyanide),L,[C-]#[N+]C1C(C)=CC=CC=1C,0,,137
NCSe (isoselenocyanato),X,[N-]=C=[Se],-1,,138
NHMe (methylamino),X,[NH-]C,-1,,139
OC₆F₅ (pentafluorophenoxy),X,C1(F)C(F)=C([O-])C(F)=C(F)C=1F,-1,,140
SeBuᵗ (t-butylselenyl),X,[Se-]C(C)(C)C,-1,,141
SH (hydrothio),X,[SH-],-1,,142
Xy (xylyl),X,C1C(C)=[C-]C(C)=CC=1,-1,,143
Buᵗ (t-butyl),X,C[C-](C)C,-1,,144
CF₃ (trifluoromethyl),X,[C-](F)(F)F,-1,,145
C≡CSiMe₃ (trimethylsilylalkynyl),X,[C-]#C[Si](C)(C)C,-1,,146
COMe (acetyl),X,[C-](C)=O,-1,,147
C(SiMe₃)₃ (tristrimethylsilylmethyl),X,[C-]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-1,,148
ClO₄ (perchlorato-κ²O),LX,[O-]Cl(=O)(=O)=O,-1,,149
SnPh₃ (triphenylstannyl),X,[Sn-](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,150
Cp (cyclopentadienyl-κC),X,[CH-]1C=CC=C1,-1,,151
C₇H₇ (η⁷-cycloheptatrienyl X₃L₂),L2X3,C1=CC=CC=C[CH+]1,1,,152
Dmdtc (dimethyldithiocarbamato-κ²S),LX,[S-]C(N(C)C)=S,-1,,153
Et (ethyl),X,[CH2-]C,-1,,154
FAsF₅ (hexafluoroarsenate),L,[As](F)(F)(F)(F)(F)F,0,,155
