Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
"Dmpm (1,2-bis-(dimethylphosphino)methane-κP)",L,C(P(C)C)P(C)C,0,,566
"Dmpm (1,2-bis-(dimethylphosphino)methane-κ²P)",L2,C(P(C)C)P(C)C,0,,567
Prⁿ (propyl),X,[CH2-]CC,-1,,568
S(CH₂)₄S (dithiane-κS),L,S1CCCSC1,0,,569
CF₂=C=CF₂ (tetrafluoroallene),L,C(F)(F)=C=C(F)F,0,,570
O=CC₆H₆ (η⁴-tropone),L2,C1=CC=CC=CC1=O,0,,571
OCC₄H₄ (η⁴-cyclopentadieneone),L2,C1(=O)C=CC=C1,0,,572
Cod (η²-cyclooctadiene),L2,"C1CCC=CCCC=1 |c:3,7|",0,,573
"SC₆H₂Mes₃-2,4,6 (tri-mesitylphenylthio)",X,C1(C2C(C)=CC(C)=CC=2C)C=CC=C(C2C(C)=CC(C)=CC=2C)C=1[S-],0,,574
"SC(Me)CHC(Me)S (pentane-2,4-dithionato)",LX,C/C(/[S-])=C/C(=S)C,-1,,575
NC₉H₇ (quinoline-κN),L,C1C=CC2C=CC=CC=2N=1,0,,576
NH₂Ph (aniline),L,C1C=CC=CC=1N,0,,577
ONMe₃ (trimethylnitrogen oxide),L,C[N+]([O-])(C)C,0,,578
SC(NHEt)₂ (ethylthiourea),L,S=C(NCC)NCC,0,,579
PBuᵗ₂H (di-t-butylphosphane),L,P(C(C)(C)C)C(C)(C)C,0,,580
PEt₂Ph (diethylphenylphosphane),L,P(CC)(C1C=CC=CC=1)CC,0,,581
SC(NH)₂(CH₂)₂ (ethylenethiourea),L,N1CCNC1=S,0,,582
SAsMe₃ (trimethylarsane sulfide),L,S=[As](C)(C)C,0,,583
PF₂Ph (difluorophenylphosphane),L,P(C1C=CC=CC=1)(F)F,0,,584
CCl₂H (dichloromethyl),X,[CH-](Cl)Cl,-1,,585
CH₂Br (bromomethyl),X,[CH-](Br)Br,-1,,586
PPent₃ (tripentylphosphane),L,P(CCCCC)(CCCCC)CCCCC,0,,587
CH₂CN (cyanomethyl),X,[CH2-]C#N,-1,,588
"NH₂CHMeCH₂NH₂ (1,2-diaminopropane)",L2,C(N)C(N)C,0,,589
"Tn (1,3-diaminopropane)",L2,C(N)CCN,0,,590
SSO₃ (thiosulphato-κS),X,S([O-])(=O)([S-])=O,-2,,591
Trien (triethylenetetramine-κ⁴N),L4,NCCNCCNCCN,0,,592
balamin (balamin),L3X2,"CC1C(C)=CC2N([C@H]3O[C@H](CO)[C@@H](OP(O[C@H](CNC(CC[C@]4(C)[C@@H](CC(N)=O)[C@H]5[N-]C4=C(C)C4=NC(C(C)(C)[C@@H]4CCC(N)=O)=CC4=NC([C@](CC(N)=O)(C)[C@@H]4CCC(N)=O)=C(C)C4=N[C@]5(C)[C@](CC(N)=O)(C)[C@@H]4CCC(N)=O)=O)C)([O-])=O)[C@H]3O)C=NC=2C=1 |c:32,47,t:64|",-2,,593
C₅EtMe₄ (η⁵-ethyltetramethylcyclopentadienyl),L2X,[C-]1(CC)C(C)=C(C)C(C)=C1C,-1,,594
HgCl₂ (dichloromercury),Z,[Hg](Cl)Cl,0,,595
CO₃ (carbonato-κO),X,C(=O)([O-])[O-],-2,,596
C₄Me₄ (η⁴-tetramethylcyclobutadiene),LX2,C1(C)[C-](C)=C(C)[C-]=1C,-2,,597
(CH₂)₂PMe₂ (dimethylphosphino-bis-ylide),X2,[P+]([CH2-])([CH2-])(C)C,-1,,598
NEt₂H (diethylamine),L,N(CC)CC,0,,599
"NH₂CHMeCHMeNH₂ (2,2'-dimethyl-1,2-diaminoethane)",L2,C(C)(N)C(C)N,0,,600
Ox (oxalato-κO),X,[O-]C(=O)C(=O)[O-],-2,,601
PO₄ (phosphato-κ²O),X2,P([O-])([O-])([O-])=O,-3,,602
SCN (thiocyanato-κS),X,[S-]C#N,-1,,603
SeCN (selenocyanato),X,[Se-]C#N,-1,,604
"SSO₃ (thiosulphato-κO,κS)",X2,S([O-])(=O)([S-])=O,-2,,605
S₂CNH₂ (dithiocarbamato-κ²S),LX,C([S-])(=S)N,-1,,606
S₂C₂O₂ (dithio-oxalato-κ²S),X2,C([S-])(=O)C(=O)[S-],-2,,607
S₂P(OEt)₂ (diethyldithiophosphate),LX,P(OCC)(=S)(OCC)[S-],-1,,608
C₅H₄(CO₂H) (η⁵-carboxycyclopentadienyl),L2X,[CH-]1C(C(=O)O)=CC=C1,-1,,609
C₅H₄(CO₂Me) (η⁵-methoxycarbonylcyclopentadienyl),L2X,[CH-]1C(C(=O)OC)=CC=C1,-1,,610
Cot (σ²-η²-cyclooctatetraene),LX2,"C1C=CC=CC=CC=1 |c:1,3,5,7|",0,,611
C₄H₆ (σ²-η²-butadiene),LX2,C1C=CC=1,0,,612
≡CEt (propylidyne),X3,[C-3]CC,-3,,613
GH (glyoximato),LX,N(/O)=C\C=N\[O-],-1,,614
"Tet (1,5,8,12-tetraazadodecane-κ⁴N)",L4,NCCCNCCNCCCN,0,,615
"CHPh=CHPh (1,2-diphenylethene)",L,C(/C1C=CC=CC=1)=C/C1C=CC=CC=1,0,,616
C₆Ph₆ (hexaphenylbenzene),L3,C1(C2C=CC=CC=2)C(C2C=CC=CC=2)=C(C2C=CC=CC=2)C(C2C=CC=CC=2)=C(C2C=CC=CC=2)C=1C1C=CC=CC=1,0,,617
Ge(SiMe₃)₃ (tris(trimethylsilyl)germyl),X,[Ge-]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-1,,618
HgCl (chloromercury),X,[Hg]Cl,0,,619
SnBuᵗ₃ (tri-t-butylstannyl),X,[Sn-](C(C)(C)C)(C(C)(C)C)C(C)(C)C,-1,,620
PTol₃ (tritolylphosphane),L,P(C1C=CC(C)=CC=1)(C1C=CC(C)=CC=1)C1C=CC(C)=CC=1,0,,621
"(PPh₂)₂C₆H₄ (1,2-bis-(diphenylphosphino)benzene)",L2,C1C=CC=C(P(C2C=CC=CC=2)C2C=CC=CC=2)C=1P(C1C=CC=CC=1)C1C=CC=CC=1,0,,622
C(OEt)Et (ethoxyethylcarbene),L,C(C)[C-2]OCC,-2,,623
NOMe (methylnitrosyl),L,[N-]=[O+]C,0,,624
SbCl₂ (dichlorostibanyl),X,[Sb-](Cl)Cl,-1,,625
C₄H₂Ph₄ (η⁴-tetraphenylbutadiene),L2,C(/C1C=CC=CC=1)=C(/C1C=CC=CC=1)\C(\C1C=CC=CC=1)=C\C1C=CC=CC=1,0,,626
OC₄(CF₃)₄ (η⁴-tetrakis(trifluoromethyl)cyclopentadieneone),L2,C1(=O)C(C(F)(F)F)=C(C(F)(F)F)C(C(F)(F)F)=C1C(F)(F)F,0,,627
"HC≡CH (μ₂-η²,η²-ethyne)",L,C#C,0,,628
Me₃CC≡CCMe₃ (di-t-butyl-ethyne L₂),L2,C(C(C)(C)C)#CC(C)(C)C,0,,629
"PhC≡CPh (μ₂-η²,η²-diphenylethyne)",L,C(C1C=CC=CC=1)#CC1C=CC=CC=1,0,,630
O₂ (dioxygen),L,O=O,0,,631
N(H)COMe (acetamido-κN),X,[NH-]C(=O)C,-1,,632
NSF (fluorothioimino),L,[N-2]SF,-2,,633
SeO₃ (trioxo-selenium-κSe Z),Z,[Se](=O)(=O)=O,0,,634
"OC(CF₃)₂C(CF₃)₂O (tetrakis-trifluoromethyl-ethanediolato-κO,κO)",X2,C(C(F)(F)F)(C(F)(F)F)([O-])C(C(F)(F)F)(C(F)(F)F)[O-],-2,,635
Nor (1-norbornyl),X,C12C[C-](CC1)CC2,-1,,636
Se₂CNEt₂ (diethyldiselenocarbamato-κ²Se),LX,[Se-]C(N(CC)CC)=[Se],-1,,637
S₂P(OMe)₂ (dimethyldithiophosphate),LX,P(OC)([S-])(OC)=S,-1,,638
S₄ (tetrasulfanediyl-κ²S),X2,[S-]SS[S-],-2,,639
(CH₂)₄ (tetramethylene-κ²C),X2,[CH2-]CC[CH2-],-2,,640
CS₂O (dithiocarbonato-κS²),X2,[S-]C(=O)[S-],-2,,641
C₆H₄-C₆H₄ (biphenyl-κC²),X2,C1C=C[C-]=C(C2[C-]=CC=CC=2)C=1,-2,,642
"PBuᵗ₂C₂H₄PBuᵗ₂ (1,2-bis-(di-t-butylphosphino)ethane)",L2,P(CCP(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C,0,,643
"NMe₂CH₂CH₂CH₂NMe₂ (1,3-bis(dimethylamino)propane)",L2,N(C)(C)CCCN(C)C,0,,644
PBuᵗ₂F (di-t-butyl-fluoro-phosphane),L,P(F)(C(C)(C)C)C(C)(C)C,0,,645
"PBuᵗ₂CH₂PBuᵗ₂ (1,2-bis-(di-t-butylphosphino)methane)",L2,C(P(C(C)(C)C)C(C)(C)C)P(C(C)(C)C)C(C)(C)C,0,,646
Sn(CH{SiMe₃}₂)₂ (bis(bis-trimethylsilyl-methyl)-stannene),X2,[Sn-2](C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C,-2,,647
MoS₄ (tetrathiomolybdenum XL),LX,[S-][Mo](=S)(=S)[S-],-2,,648
NC (isocyano-κN),X,N#[C-],-1,,649
Por (porphyrin),L2X2,"C12C=C3N=C(C=C4[N-]C(=CC5=NC(=CC([N-]1)=CC=2)C=C5)C=C4)C=C3 |c:5,12|",-2,,650
SC(O)Me (thioacetato-κS),X,[S-]C(=O)C,-1,,651
C₆H₄Ph (p-phenyl-phenyl),X,C1C=C(C2C=CC=CC=2)C=C[C-]=1,-1,,652
PBz₃ (tribenzylphosphane),L,P(CC1C=CC=CC=1)(CC1C=CC=CC=1)CC1C=CC=CC=1,0,,653
S(CH₂)₄S (dithiane-κ²S),L,C1CSCCS1,0,"1,4-dithiane, p-dithiane",654
CCl=CCl₂ (trichlorovinyl),X,[C-](/Cl)=C(/Cl)\Cl,-1,,655
"NC₅H₃Me₂ (2,6-dimethylpyridine)",L,C1(C)C=CC=C(C)N=1,0,,656
NHPh (phenylamino),X,C1C=CC=CC=1[NH-],-1,,657
N(CH₂)₅ (piperidinato),X,C1CCCC[N-]1,-1,,658
P₃ (triphosphido),X3,[P-]1[P-][P-]1,-3,,659
"CO₂ (carbon dioxide-κC,κO)",L,O=C=O,0,,660
C(PPh₃)₂ (carbodiphosphorane),L,C(=P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)=P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,661
"HOCH₂C≡CCH₂OH (2-butyne-1,4-diol)",L,OCC#CCO,0,,662
"MeOCH₂C≡CCH₂OMe (1,4-dimethoxybut-2-yne)",L,O(C)CC#CCOC,0,,663
Me₃SiC≡CPh (trimethylsilyl-phenyl-ethyne),L,C(C1C=CC=CC=1)#C[Si](C)(C)C,0,,664
O=C(CF₃)₂ (hexafluoroacetone),L,C(F)(F)(F)C(=O)C(F)(F)F,0,,665
C₇H₁₀ (η²-norbornene),L,C12CC(CC1)C=C2,0,,666
"η²,η²,η²-C₁₂H₁₈ (η²,η²,η²-cyclododecatriene)",L3,"C1CCC=CCCC=CCCC=1 |c:11,t:3,7|",0,,667
[15]aneS₅ (pentathiacyclo-pentadecane-κ⁵S),L5,C1SCCSCCSCCSCCSC1,0,,668
SiEt₃ (triethylsilyl),X,[Si-](CC)(CC)CC,-1,,669
"NC₅H₃Me₂ (3,5-diimethylpyridine)",L,C1C(C)=CC(C)=CN=1,0,,670
NHTol (tolylamino),X,C1C=C(C)C=CC=1[NH-],-1,"p-tolylamino, 4-tolylamino",671
SeMes (mesitylselenyl),X,C1(C)C=C(C)C=C(C)C=1[Se-],-1,,672
NO (η²-nitrosyl),LX,[N-]=O,-1,,673
"[13]aneN₄ (1,4,7,10-tetraazacyclotridecane-κ⁴N)",L4,N1CCNCCNCCNCCC1,0,,674
GaC(SiMe₃)₃ (tris(trimethylsilyl)methyl-gallium),L,[Ga-2]C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-2,,675
InC(SiMe₃)₃ (tris(trimethylsilyl)methyl-indium),L,[In-2]C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-2,,676
NCSiMe₃ (trimethylsilylnitrile),L,N#C[Si](C)(C)C,0,,677
PH₂Mes (mesitylphosphane),L,PC1C(C)=CC(C)=CC=1C,0,,678
"(NMe₂)₂C₆H₄ (1,2-bis{methylamino}benzene)",L2,C1C=CC=C(N(C)C)C=1N(C)C,0,,679
"S(Me)CH₂CH₂SMe (2,5-dithiahexane-κ²S)",L2,S(C)CCSC,0,,680
O₂CC₆H₄(OH)-o (salicylato-κO),X,C1C=CC(O)=C(C(=O)[O-])C=1,-1,,681
"[12]aneS₃ (1,5,9-trithiocyclododecane-κ³S)",L3,C1CSCCCSCCCSC1,0,,682
"Tea (triethanolamine-κN,κ²O)",L3,N(CCO)(CCO)CCO,0,,683
NO₂ (nitrito-κ²O),LX,[O-]N=O,-1,,684
"[18]aneS₆ (1,4,7,10,13,16-hexathiacyclo-octadecane-κ⁶S)",L6,C1SCCSCCSCCSCCSCCSC1,0,,685
OPCy₃ (tricyclohexylphosphane oxide),L,P(C1CCCCC1)(C1CCCCC1)(C1CCCCC1)=O,0,,686
C₅HPh₄ (η⁵-tetraphenylcyclopentadienyl),L2X,[CH-]1C(C2C=CC=CC=2)=C(C2C=CC=CC=2)C(C2C=CC=CC=2)=C1C1C=CC=CC=1,-1,,687
"NHEtCH₂CH₂NHEt (1,3-bis(ethylamino)ethane)",L2,CCNCCNCC,0,,688
"[16]aneN₄ (1,4,7,10-tetraazacyclohexadodecane-κ⁴N)",L4,N1CCNCCNCCCCCCNCC1,0,,689
TEEDA (tetraethylethylenediamine),L2,C(N(CC)CC)CN(CC)CC,0,,690
"[16]aneN₄ (1,5,9,13-tetraazacyclohexadodecane-κ⁴N)",L4,C1CNCCCNCCCNCCCNC1,0,,691
SC(NEt₂)₂ (diethylthiourea),L,N(CC)(CC)C(=S)N(CC)CC,0,kappa S,692
OC(H)C₆H₄(O)-o (salicylaldehydato-κ²O),LX,C1C=CC([O-])=C(C(=O)[H])C=1,-1,,693
NPh₂ (diphenylamino),X,C1(C=CC=CC=1)[N-]C1C=CC=CC=1,-1,,694
S₂C₂(CN)₂ (dicyano-ethylene-dithiolate-κ²S),X2,[S-]/C(/C#N)=C(/C#N)\[S-],-2,,695
C₈H₁₂ (cyclooctyne),L,C1CCCCC#CC1,0,,696
C₂F₅ (perfluoroethyl),X,[C-](F)(F)C(F)(F)F,-1,,697
Ge(C₆F₅)₃ (tri(pentaflorophenyl)germyl),X,[Ge-](C1C(F)=C(F)C(F)=C(F)C=1F)(C1C(F)=C(F)C(F)=C(F)C=1F)C1C(F)=C(F)C(F)=C(F)C=1F,-1,,698
N(SO₂CF₃)₂ ((dioxo(trifluoromethyl)sulfonato)amino),X,S(=O)(=O)(C(F)(F)F)[N-]S(=O)(=O)C(F)(F)F,-1,,699
NH₂Cy (cyclohexylamine),L,C1CCCC(N)C1,0,,700
Bi(SiMe₃)₂ (bis-trimethylsilyl-bismuthido),X,[Bi-]([Si](C)(C)C)[Si](C)(C)C,-1,,701
Phen-Me₂ (phenanthroline-Me₂),L2,C1C2C=CC(C)=NC=2C2N=C(C)C=CC=2C=1,0,,702
"[12]aneS₄ (1,4,7,10-tetrathiacyclododecane-κ³S)",L3,C1CSCCSCCSCCS1,0,,703
SCMe(NH₂) (thioacetamide-κS),L,NC(=S)C,0,,704
PPrⁿ₃ (tri-n-propylphosphane),L,P(CCC)(CCC)CCC,0,,706
SSiMe₃ (trimethylsilyl-sulfanyl),X,[S-][Si](C)(C)C,-1,,707
TeSiMe₃ (trimethylsilyl-tellanyl),X,[Te-][Si](C)(C)C,-1,,708
CO₂(OH) (hydrogencarbonato-κO),X,C(O)([O-])=O,-1,,709
15-crown-5 (15-crown-5-κ³O),L3,C1OCCOCCOCCOCCOC1,0,,710
"[12]aneS₄ (1,4,7,10-tetrathiacyclododecane-κ⁴S)",L4,C1SCCSCCSCCSC1,0,,711
15-crown-5 (15-crown-5-κ⁴O),L4,C1OCCOCCOCCOCCOC1,0,,712
N(CH)₄N (pyrimidine),L,N1C=CC=NC=1,0,,713
PMes₃ (trimesitylphosphane),L,P(C1C(C)=CC(C)=CC=1C)(C1C(C)=CC(C)=CC=1C)C1C(C)=CC(C)=CC=1C,0,,714
(OC)₅ReC≡CRe(CO)₅ (bis-(pentacarbonylrhenium)ethyne),L,C([Re](C#O)(C#O)(C#O)(C#O)C#O)#C[Re](C#O)(C#O)(C#O)(C#O)C#O,0,,715
PBuᵗ₂ (dibutylphosphanyl),X,[P-](C(C)(C)C)C(C)(C)C,-1,,716
SeSiPh₃ (triphenylsilyl-selenyl),X,[Se-][Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,717
SSiPh₃ (triphenylsilyl-sulfanyl),X,[S-][Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,718
SXylyl (xylylthio),X,C1(C)C=CC=C(C)C=1[S-],-1,,719
CF₂H (difluoromethyl),X,[CH-](F)F,-1,,720
"[12]aneN₃ (1,5,9-triazacyclododecane-κ³N)",L3,N1CCCNCCCNCCC1,0,,721
OCHPh (benzaldehyde-O),L,C1C=CC=C(C(=O)[H])C=1,0,,722
NEt₃ (triethylamine),L,N(CC)(CC)CC,0,,723
Cp* (pentamethylcyclopentadienyl-κC),X,[C-]1(C)C(C)=C(C)C(C)=C1C,-1,,724
"DzH (dithizonato-κN,κS)",LX,N(/C1C=CC=CC=1)=N\C(\[S-])=N\NC1C=CC=CC=1,-1,,725
"OC₆H₃Buᵗ₂-2,6 (di-t-butylphenoxy-2,6)",X,C1(C(C)(C)C)C=CC=C(C(C)(C)C)C=1[O-],-1,,726
NC₅H₄NMe₂ (4-dimethylaminopyridine),L,C1C=C(N(C)C)C=CN=1,0,kappa pyr N,727
OC(S)Ph (thiobenzoato-κO),X,C1C=CC=C(C(=O)[S-])C=1,-1,,728
Prⁱ (isopropyl),X,[CH-](C)C,-1,,729
TeMes (mesityltellanyl),X,C1(C)C=C(C)C=C(C)C=1[Te-],-1,,730
OC(Me)CHC(Ph)O (benzoylacetonato),LX,C(/[O-])(\C1C=CC=CC=1)=C/C(=O)C,-1,,731
Diox (dioxane),L,C1COCCO1,0,,732
Fc (ferrocenyl-κC),X,[C-]12[Fe]3456789(C%10=C3[C-]4C5=C%106)C(C7=C18)=C29,0,,733
NCCN (dinitrile),L,N#CC#N,0,,734
"N(C₆H₃Prⁱ₂)C(Me)CHC(Me)N(C₆H₃Prⁱ₂) (bis(2,6-diisopropyl)pentane-2,4-di-iminato-κ²N)",LX,[N-](C1C(C(C)C)=CC=CC=1C(C)C)/C(/C)=C\C(C)=NC1C(C(C)C)=CC=CC=1C(C)C,-1,,735
Fe(CO)₄ (tetracarbonyliron X),X,[Fe](C#O)(C#O)(C#O)C#O,0,,736
N(SiMe₃)₂ (bis(trimethylsilyl)amino),X,[N-]([Si](C)(C)C)[Si](C)(C)C,-1,,737
Sn(C₂F₅)₃ (tris-pentafluoroethyl-stannyl),X,[Sn](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0,,738
PzH-Me₂ (dimethylpyrazole),L,N1N=C(C)C=C1C,0,,739
"OC(Buᵗ)CHC(Buᵗ)O (tetramethylheptane-3,5-dionato)",LX,C(=O)(C(C)(C)C)/C=C(\[O-])/C(C)(C)C,-1,,740
Pz₂BH₂ (dihydro-di(pyrazolyl)borato-κ²N),LX,[BH2-](N1C=CC=N1)N1N=CC=C1,-1,,741
Teg (triethylene glycol-κ⁴O. triglycol-κ⁴O),L4,OCCOCCOCCO,0,,742
Deg (diethylene glycol-κ³O),L3,OCCOCCO,0,,743
NBz₂ (dibenzylamino XL),LX,[N-](CC1C=CC=CC=1)CC1C=CC=CC=1,-1,,744
Bpy (bipyridine 2⊖),L2X,C1C=CN=C(C2N=CC=CC=2)C=1,0,,745
"l5""CH₂Ph (η²-benzyl",LX,C1C=CC=C([CH2-])C=1,-1,"CH₂Ph (η²-benzyl, η²-Bz)",746
OP(NMe₂)₃ (tris(dimethylamino)phosphane oxide),L,P(N(C)C)(N(C)C)(N(C)C)=O,0,kappa O,747
Triglyme (triethylene glycol dimethyl ether-κ⁴O),L4,COCCOCCOCCOC,0,,748
N(CH₂CH₂OH)₃ (triethanolamine),L4,N(CCO)(CCO)CCO,0,,749
"OC₆H₂(NO₂)₃-2,4,6 (picrato)",X,C1([N+]([O-])=O)C(=C([N+]([O-])=O)C=C([N+]([O-])=O)C=1)[O-],0,,750
"NC₅H₃(CO₂)₂ (pyridinedicarboxylato-2,6-κN,κ²O))",LX2,C1(C([O-])=O)C=CC=C(C(=O)O)N=1,-2,,751
(Cp₃) (tris-(η⁵-cyclopentadienyl) Ⓢ),L5X3,[CH-]1C=CC=C1.[CH-]1C=CC=C1.[CH-]1C=CC=C1,-3,,752
C₁₀H₂₀O₆ (pentaethylene glycol-κ⁶O),L6,OCCOCCOCCOCCOCCO,0,,753
"CH₂Ph (η²-benzyl, η²-Bz)",LX,C1C=CC=C([CH2-])C=1,-1,,754
({C₅H₄Me}₃) (tris-(η⁵-methylcyclopentadienyl) Ⓢ),L5X3,[CH-]1C=CC=C1C.[CH-]1C=CC=C1C.[CH-]1C=CC=C1C,-3,,755
"PPh₂ (diphenylphosphanyl, planar)",LX,[P-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,756
(Ind₃) (tris-(η⁵-indenyl) Ⓢ),L5X3,C1C=CC2[CH-]C=CC=2C=1.C1C=CC2[CH-]C=CC=2C=1.C1C=CC2[CH-]C=CC=2C=1,-3,,757
C₈H₆(SiMe₃)₂ (η⁸-bistrimethylsilyl-cyclooctatetraene),L3X2,"C1C=CC([Si](C)(C)C)=CC=C([Si](C)(C)C)C=1 |c:1,7,15,t:9|",0,"1,4-bistrimethylsilyl cyclooctatetrene",758
OBuⁿ (n-butyloxy),X,C([O-])CCC,-1,,759
OXylyl (xylyloxy),X,C1(C)C=CC=C(C)C=1[O-],-1,,760
C₅H₃(Buᵗ)₂ (η⁵-bis(t-butyl)cyclopentadienyl),L2X,[CH-]1C(C(C)(C)C)=CC=C1C(C)(C)C,-1,,761
CO₂(OH) (hydrogencarbonato-κ²O),LX,C(=O)([O-])O,-1,,762
Buⁿ (butyl),X,[CH2-]CCC,-1,,763
NPBuᵗ₃ (tri-t-butylphosphane nitride),LX,P(=[N-])(C(C)(C)C)(C(C)(C)C)C(C)(C)C,-1,,764
C₈Me₆ (η⁸-hexamethylpentalene),L3X2,C1(C)C(C)=C(C)[C-]2=C(C)C(C)=C(C)[C-]=12,0,,765
TeSiPh₃ (trisphenylsilyl-tellanyl),X,[Te-][Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,766
NHMe (methylamino: planar),LX,[NH-]C,-1,,767
As(SiMe₃)₂ (bistrimethylsilylarsanyl),X,[As-]([Si](C)(C)C)[Si](C)(C)C,-1,,768
C≡CMe (propynyl),X,[C-]#CC,-1,,769
CHPh₂ (diphenylmethyl),X,[CH-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,770
CH₂PPh₂ (diphenylphosphinomethyl),X,[CH2-]P(C1C=CC=CC=1)C1C=CC=CC=1,-1,,771
"Tp* (hydrotris(3,5-dimethylpyrazolyl)borato-κ²N)",LX,[BH-](N1C(C)=CC(C)=N1)(N1N=C(C)C=C1C)N1C(C)=CC(C)=N1,-1,,772
C₃H₅ (cyclopropyl),X,[CH-]1CC1,-1,,773
SBz (benzylthio),X,C1C=CC=C(C[S-])C=1,-1,,774
Se₃ (triseleno-κ²Se),X2,[Se-][Se][Se-],-2,,775
Te (tellurido),X2,[Te-2],-2,,776
Te₃ (tritellurido-κ²Te),X2,[Te-][Te][Te-],-2,,777
Se (μ₂-seleno X–X),X,[Se-2],-2,,778
"C₅H₅Me₂ (η⁵-2,4-dimethylpentadienyl)",L2X,C=C(C)[CH-]C(C)=C,-1,,779
P group (X type),LX,[P-3],-3,,780
C₈H₆ (η⁸-pentalene),L3X2,C1=C[CH-]C2C=C[CH-]C1=2,-2,,781
CH(PPh₃) (triphenylphosphinylidene-methyl),X2,[P+](C1C=CC=CC=1)(C1C=CC=CC=1)(C1C=CC=CC=1)[CH-2],-1,,782
N(PPh₂)₂ (bis(diphenylphosphanyl)amino XL),LX,[N-](P(C1C=CC=CC=1)C1C=CC=CC=1)P(C1C=CC=CC=1)C1C=CC=CC=1,-1,,783
(Cp)(Cp*) ((η⁵-cyclopentadienyl) + η⁵-pentamethylcyclopentadienyl) X₂L₃ Ⓢ),L3X2,[CH-]1C=CC=C1.[C-]1(C)C(C)=C(C)C(C)=C1C,-2,,784
"=NC₆H₃Prⁱ₂ (2,6-di-isopropylphenylimino)",X2,[N-2]C1C(C(C)C)=CC=CC=1C(C)C,-2,,785
Se (selenido),X2,[Se-2],-2,,786
(C₈Me₆)₂ (bis(η⁸-hexamethylpentalene) Ⓢ),L5X4,[C-]1(C)C(C)=C(C)C2[C-](C)C(C)=C(C)C1=2.[C-]1(C)C(C)=C(C)C2[C-](C)C(C)=C(C)C1=2,-4,,787
"[18]aneO₄N₂ (tetraoxa-7,16-diazacyclooctadecane-κ²N,κ⁴O)",L6,C1OCCNCCOCCOCCNCCOC1,0,,788
CH₂=CHEt (butene),L,C=CCC,0,,789
SPPh₃ (triphenylphosphane sulfide),L,[S-][P+](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,790
PhC≡CMe (phenylpropyne),L,C1C=CC=C(C#CC)C=1,0,,791
CF₃C≡CCF₃ (bis(trifluoromethyl)ethyne),L,C(C(F)(F)F)#CC(F)(F)F,0,,792
Cl (μ₂-chloro),LX,[Cl-],-1,,793
PCyH₂ (cyclohexylphosphane),L,PC1CCCCC1,0,,794
OC(Ph)CHC(Ph)O (dibenzoylmethyl),LX,C1C=CC(C(=O)/C=C(\[O-])/C2C=CC=CC=2)=CC=1,-1,,795
SeH (selenyl),X,[SeH-],-1,,796
O₂CNEt₂ (diethylcarbamato-κO),X,N(CC)(CC)C(=O)[O-],-1,,797
O₂CNMe₂ (dimethylcarbamato-κO),X,C(N(C)C)(=O)[O-],-1,,798
OTol (tolyloxy),X,C1C=C(C)C=CC=1[O-],-1,,799
AsEt₂ (diethylarsanyl),X,[As-](CC)CC,-1,,800
"(CO)₅ (pentacarbonyl, (C≡O)₅ octahedral C4v Ⓢ)",L5Z3,[O+]#[C-].[O+]#[C-].[O+]#[C-].[O+]#[C-].[O+]#[C-],0,,801
CR₃ (alkyl),X,[C-](*)(*)*,-1,,802
SiBrMe₂ (dimethylbromosilyl),X,[Si-](Br)(C)C,-1,,803
SiFMe₂ (dimethylfluorosilyl),X,[Si-](Br)(C)C,-1,,804
SiIMe₂ (dimethyliodosilyl),X,[Si-](I)(C)C,-1,,805
SiClMe₂ (dimethylchlorosilyl),X,[Si-](Cl)(C)C,-1,,806
SiHMe₂ (dimethylsilyl),X,[SiH-](C)C,-1,,807
PbMe₃ (trimethylplumbyl),X,[Pb-](C)(C)C,-1,,808
SbPh₂ (diphenylstibanyl),X,[Sb-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,809
(NEt₂)₅ (penta(diethylamino X₅L₄ planar) Ⓢ),L4X5,[N-](CC)CC.[N-](CC)CC.[N-](CC)CC.[N-](CC)CC.[N-](CC)CC,-5,,810
(Se)₄ (tetraseleno X₈L Ⓢ),LX8,[Se-2].[Se-2].[Se-2].[Se-2],-8,,811
EtC≡CMe (pentyne),L,C(CC)#CC,0,,812
Re group (X type),X,[Re],0,,813
PHPrⁱ₂ (diisopropylphosphane),L,P(C(C)C)C(C)C,0,,814
